City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
202,Farah,AF,2022-05-05 21:07:27,32.5,62.5,73.38,22,0,2.84
203,Torbay,CA,2022-05-05 21:03:19,47.6666,-52.7314,44.76,91,100,1.01
204,Tome,CL,2022-05-05 21:07:27,-36.6167,-72.95,54.21,76,5,7.58
205,Nhulunbuy,AU,2022-05-05 21:07:28,-12.2333,136.7667,81.21,78,40,11.5
206,Longyearbyen,SJ,2022-05-05 21:04:18,78.2186,15.6401,22.84,74,75,0.0
207,Souillac,MU,2022-05-05 21:07:28,-20.5167,57.5167,75.63,83,70,20.15
208,Linkoping,SE,2022-05-05 21:07:29,58.4109,15.6216,53.58,71,75,8.05
209,Saint-Augustin,CA,2022-05-05 21:05:30,51.226,-58.6502,44.1,58,100,13.33
210,Yulara,AU,2022-05-05 21:07:29,-25.2406,130.9889,40.84,70,11,6.91
211,Vostok,RU,2022-05-05 21:07:30,46.4856,135.8833,50.07,64,88,5.19
212,Castro,BR,2022-05-05 21:05:00,-24.7911,-50.0119,59.67,86,84,3.87
213,Andenes,NO,2022-05-05 21:07:30,69.3143,16.1194,40.98,75,75,32.21
214,Pangkalanbuun,ID,2022-05-05 21:07:31,-2.6833,111.6167,73.53,98,51,1.95
215,Alihe,CN,2022-05-05 21:07:31,50.5667,123.7167,41.38,55,100,5.53
216,Riyadh,SA,2022-05-05 21:05:05,24.6877,46.7219,95.14,14,60,12.82
217,Taoudenni,ML,2022-05-05 21:07:32,22.6783,-3.9836,93.81,10,48,10.85
218,Buin,CL,2022-05-05 21:07:33,-33.7333,-70.75,71.87,44,13,3.96
219,Kimbe,PG,2022-05-05 21:07:33,-5.5502,150.1429,77.25,88,71,3.18
220,Saint Anthony,US,2022-05-05 21:07:34,45.0205,-93.218,65.98,45,100,5.75
221,Bonwapitse,BW,2022-05-05 21:07:35,-23.0766,26.7037,65.32,44,3,1.57
222,Ladispoli,IT,2022-05-05 21:07:35,41.9537,12.0735,65.95,84,100,11.7
223,Arlit,NE,2022-05-05 21:07:35,18.7369,7.3853,94.12,10,83,12.44
224,Hovd,MN,2022-05-05 21:07:36,48.0056,91.6419,49.68,25,81,1.66
225,Dunedin,NZ,2022-05-05 21:07:36,-45.8742,170.5036,61.81,63,34,3.67
